recommendation,id,training_id,end_date
8,a065700001k4Mp2AAE,a065700001k4Mp2AAE,2019-01-25
7,a065700001k4Mp2AAE,a065700001k4Mp2AAE,2019-01-25
8,a065700001k4Mp2AAE,a065700001k4Mp2AAE,2019-01-25
9,a065700001k4NkjAAE,a065700001k4NkjAAE,2019-04-12
8,a065700001k4NkjAAE,a065700001k4NkjAAE,2019-04-12
8,a065700001k4NkjAAE,a065700001k4NkjAAE,2019-04-12
9,a065700001k4NkoAAE,a065700001k4NkoAAE,2019-06-26
9,a065700001k4NkoAAE,a065700001k4NkoAAE,2019-06-26
8,a065700001k4NkoAAE,a065700001k4NkoAAE,2019-06-26
7,a065700001k4NkyAAE,a065700001k4NkyAAE,2019-09-27
9,a065700001k4NkyAAE,a065700001k4NkyAAE,2019-09-27
10,a065700001k4NkyAAE,a065700001k4NkyAAE,2019-09-27
8,a065700001k4NlIAAU,a065700001k4NlIAAU,2019-09-27
8,a065700001k4NlXAAU,a065700001k4NlXAAU,2019-09-19
8,a065700001k4NmpAAE,a065700001k4NmpAAE,2019-02-13
10,a065700001k4NmpAAE,a065700001k4NmpAAE,2019-02-13
9,a065700001lOoHmAAK,a065700001lOoHmAAK,2019-03-15
9,a065700001lOoHmAAK,a065700001lOoHmAAK,2019-03-15
8,a065700001lOoHrAAK,a065700001lOoHrAAK,2019-03-22
8,a065700001lOoHrAAK,a065700001lOoHrAAK,2019-03-22
8,a065700001lOoHrAAK,a065700001lOoHrAAK,2019-03-22
8,a065700001lOoHrAAK,a065700001lOoHrAAK,2019-03-22
8,a062o00001modm5AAA,a062o00001modm5AAA,2019-05-09
9,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
10,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
10,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
8,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
10,a062o00001monfrAAA,a062o00001monfrAAA,2019-09-24
8,a062o00001mpQGVAA2,a062o00001mpQGVAA2,2019-06-26
10,a062o00001mpgKcAAI,a062o00001mpgKcAAI,2019-07-11
8,a062o00001mpgKcAAI,a062o00001mpgKcAAI,2019-07-11
9,a062o00001ogf4NAAQ,a062o00001ogf4NAAQ,2019-10-16
8,a062o00001p69ajAAA,a062o00001p69ajAAA,2019-11-08
8,a062o00001p69ajAAA,a062o00001p69ajAAA,2019-11-08
10,a062o00001p6WuoAAE,a062o00001p6WuoAAE,2019-11-06
8,a065700001LxGFoAAN,a065700001LxGFoAAN,2017-11-30
7,a065700001MHaNRAA1,a065700001MHaNRAA1,2017-12-14
7,a065700001MHaNRAA1,a065700001MHaNRAA1,2017-12-14
8,a065700001MHaNgAAL,a065700001MHaNgAAL,2018-02-01
8,a065700001MHaNqAAL,a065700001MHaNqAAL,2018-03-15
2,a065700001MHaNqAAL,a065700001MHaNqAAL,2018-03-15
8,a065700001MHaNvAAL,a065700001MHaNvAAL,2018-03-29
9,a065700001MHaNvAAL,a065700001MHaNvAAL,2018-03-29
9,a065700001QnuStAAJ,a065700001QnuStAAJ,2018-09-25
6,a065700001QnuStAAJ,a065700001QnuStAAJ,2018-09-25
5,a065700001QnuStAAJ,a065700001QnuStAAJ,2018-09-25
10,a065700001QnxBbAAJ,a065700001QnxBbAAJ,2018-02-14
10,a065700001QnxBbAAJ,a065700001QnxBbAAJ,2018-02-14
9,a065700001QnxBlAAJ,a065700001QnxBlAAJ,2018-06-06
10,a065700001QnxBlAAJ,a065700001QnxBlAAJ,2018-06-06
9,a065700001QnxCFAAZ,a065700001QnxCFAAZ,2018-09-28
7,a065700001QnxCFAAZ,a065700001QnxCFAAZ,2018-09-28
8,a065700001QnxCFAAZ,a065700001QnxCFAAZ,2018-09-28
10,a065700001QnxCKAAZ,a065700001QnxCKAAZ,2018-12-13
10,a065700001QnxCKAAZ,a065700001QnxCKAAZ,2018-12-13
10,a065700001QnyCgAAJ,a065700001QnyCgAAJ,2018-09-13
8,a065700001QoB7rAAF,a065700001QoB7rAAF,2018-06-15
7,a065700001QoB7rAAF,a065700001QoB7rAAF,2018-06-15
9,a065700001QoB7rAAF,a065700001QoB7rAAF,2018-06-15
10,a065700001QoB7rAAF,a065700001QoB7rAAF,2018-06-15
10,a065700001QoB7rAAF,a065700001QoB7rAAF,2018-06-15
9,a065700001k4Mp2AAE,a065700001k4Mp2AAE,2019-01-25
9,a065700001k4Mp2AAE,a065700001k4Mp2AAE,2019-01-25
8,a065700001k4NkjAAE,a065700001k4NkjAAE,2019-04-12
9,a065700001k4NkjAAE,a065700001k4NkjAAE,2019-04-12
10,a065700001k4NkoAAE,a065700001k4NkoAAE,2019-06-26
9,a065700001k4NkoAAE,a065700001k4NkoAAE,2019-06-26
10,a065700001k4NkoAAE,a065700001k4NkoAAE,2019-06-26
8,a065700001k4NkyAAE,a065700001k4NkyAAE,2019-09-27
8,a065700001k4NkyAAE,a065700001k4NkyAAE,2019-09-27
10,a065700001k4NmzAAE,a065700001k4NmzAAE,2019-10-09
10,a065700001k4NmzAAE,a065700001k4NmzAAE,2019-10-09
10,a065700001lOoHmAAK,a065700001lOoHmAAK,2019-03-15
8,a065700001lOoHrAAK,a065700001lOoHrAAK,2019-03-22
